ID_KEY;OBL;NU;KMB
015;03;Бюджет с. Зимне;03301507000
015;04;Бюджет Дніпровського району;04203603000
015;05;Бюджет м. Артемівська;05203100000
015;06;Бюджет Волосівської с\р;06301505000
015;07;Бюджет с.Гут;07301514000
015;08;Бюджет м.Єнергодар;08203100000
015;09;Бюджет м. Калуша;09203100000
015;10;Бюджет м. Фастів;10210100000
015;11;Бюджет селища Нова Прага;11316401000
015;12;Бюджет селища Кріпенське;12203405000
015;13;Бюджет м.Стебник;13203301000
015;14;Бюджет Благодатнівської сільської ради;14301502000
015;15;Бюджет м. іллічівська;15204100000
015;16;ГОГОЛЕВО;16301402000
015;17;Бюджет с. Голубне;17301507000
015;18;Бюджет с.Бакирівка;18311501000
015;19;Бюджет с.Надрічне;19301513000
015;20;Бюджет м. Лозова;20204100000
015;21;Бюджет с.Райське;21203501000
015;22;с. Денисiвка;22301507000
015;23;Бюджет с. Буда-Орловецька;23301501000
015;24;Бюджет с. Замостя;24301505000
015;25;Бюджет с. Голінка;25301505000
015;27;Зведений бюджет Нахимівського району;27400602000
016;01;Бюджет селища Заозерне;01205401000
016;02;ВЕРХIВСЬКА/С.ВЕРХIВКА;02301503000
016;03;Бюджет с. Красностав;03301508000
016;04;Бюджет Заводського району;04203601000
016;05;Бюджет м. Соледар;05203701000
016;06;Бюджет Гальчинської с\р;06301506000
016;07;Бюджет с.Гать;07301512000
016;08;Бюджет Якимівського р-ну;08320200000
016;09;Бюджет м. Коломиї;09204100000
016;10;Бюджет Баришівського р-ну;10301200000
016;11;Бюджет селища Приютівка;11316402000
016;12;Бюджет селища Щотове;12203406000
016;13;Бюджет м. Самбора;13206100000
016;14;Бюджет Воєводської сільської ради;14301503000
016;16;АКИМОВСКИЙ/С.АКИМОВО;16301516000
016;17;Бюджет с. Городище;17301508000
016;18;Бюджет с.Бугрувате;18311502000
016;19;Бюджет с.Нараїв;19301514000
016;20;Бюджет селища Панютино;20204401000
016;21;Бюджет Білозерського р-ну;21302200000
016;22;с. Вiкнини;22301502000
016;23;Бюджет с. Валява;23301502000
016;24;Бюджет с. іспас;24301506000
016;25;Бюджет с. Городище;25301504000
017;01;Бюджет селища Мирне;01205402000
017;02;ВОЙНАШIВСЬКА/С.ВОЙНАШIВКА;02301504000
017;03;Бюджет с. Ласків;03301509000
017;04;Бюджет Карнаухівської селищноі ради;04203401000
017;05;Бюджет м. Часів Яр;05203702000
017;06;Бюджет Глиновецької с\р;06301507000
017;07;Бюджет с.Геча;07301513000
017;08;Бюджет селища Якимівка;08320402000
017;09;Бюджет м. Яремче;09205100000
017;10;Бюджет селища Баришівка;10301401000
017;11;Бюджет с.Олександрівка;11316516000
017;12;Бюджет м. Брянки;12204100000
017;13;Бюджет м. Стрия;13207100000
017;14;Бюджет іванівської сільської ради;14301504000
017;16;БАЛАКЛЕЕВСКИЙ/С.БАЛАКЛЕЯ;16301501000
017;17;Бюджет с. Грушівка;17301509000
017;18;Бюджет с.Високе;18311503000
017;19;Бюджет с.Вільховець;19301504000
017;20;Бюджет с.Домаха;20204501000
017;21;Бюджет селища Білозерка;21302401000
017;22;с. Довгалiвка;22301508000
017;23;Бюджет с. Вербівка;23301503000
017;24;Бюджет с. Карапчів;24301507000
017;25;Бюджет с. Григорівка;25301506000
018;01;Бюджет селища Новоозерне;01205403000
018;02;ВОЛОДIЇВЕЦЬКА/С.ВОЛОДIЇВЦI;02301505000
018;03;Бюджет с. Льотниче;03301510000
018;04;Бюджет м. Жовті Води;04204100000
018;05;Бюджет м. Горлівки;05205100000
018;06;Бюджет Городківської с\р;06301508000
018;07;Бюджет с.Велика Бакта;07301508000
018;08;Бюджет селища Кирилівка;08320401000
018;09;Бюджет селища Ворохта;09205401000
018;10;Бюджет с. Бзів;10301501000
018;11;Бюджет с. Андріївка;11316501000
018;13;Бюджет м. Трускавця;13208100000
018;14;Бюджет Кавунівської сільської ради;14301505000
018;16;БОГАЧАНСКИЙ ПЕРВЫЙ/С.БОГАЧКА-ПЕРВАЯ;16301509000
018;17;Бюджет с. Губків;17301510000
018;18;Бюджет с.В`язове;18311504000
